"Story","Title","Result","Date","Stability","Duration (s)"
"Every user can view the menu, a list of available meals","Customer clicks on meal category Sandwich from menu page, so there should be 1 meal with name Meal10 and price 10","SUCCESS","2021-09-15T20:44:27.7183943+02:00[Europe/Skopje]","0.0","8.2"
"Every user can view the menu, a list of available meals","Customer is on menu page. By clicking on plus button for Meal3, value of the input field should be 2","SUCCESS","2021-09-15T20:44:36.5063126+02:00[Europe/Skopje]","0.0","3.1"
"Every user can view the menu, a list of available meals","Customer is on menu page  and he clicks 10 times on plus button for Meal3, but value of input should stay 7","SUCCESS","2021-09-15T20:44:40.2161039+02:00[Europe/Skopje]","0.0","3.26"
"Every user can view the menu, a list of available meals","Customer is on menu page. Input field for quantity for Meal 3 is 3, so he clicks on minus button and the new value for","SUCCESS","2021-09-15T20:44:44.0627+02:00[Europe/Skopje]","0.0","3.12"
"Every user can view the menu, a list of available meals","Customer is on menu page. Input field for quantity for Meal 3 is 2, so he clicks minus 2 times,","SUCCESS","2021-09-15T20:44:47.751076+02:00[Europe/Skopje]","0.0","3.47"
"Every user can view the menu, a list of available meals","Customer is on menu page and click 3 times on plus button for Meal3. Then he clicks on Add. Meal3 should be in","SUCCESS","2021-09-15T20:44:51.8142651+02:00[Europe/Skopje]","0.0","5.43"
"Admin is logged in and views the menu, list of meals","Admin user is logged in and opens the form for adding new meal","SUCCESS","2021-09-15T20:44:57.8415028+02:00[Europe/Skopje]","0.0","3.18"
"Admin is logged in and views the menu, list of meals","Admin user is logged in and add new meal","SUCCESS","2021-09-15T20:45:01.6273228+02:00[Europe/Skopje]","0.0","6.84"
"Admin is logged in and views the menu, list of meals","Admin wants to edit meal named Meal for edit so edit form should be displayed","SUCCESS","2021-09-15T20:45:09.0698966+02:00[Europe/Skopje]","0.0","5.53"
"Admin is logged in and views the menu, list of meals","Admin wants to edit meal named Meal for edit with new name Edited meal","SUCCESS","2021-09-15T20:45:15.1916646+02:00[Europe/Skopje]","0.0","5.57"
"Admin is logged in and views the menu, list of meals","Admin wants to edit meal named Meal for edit with new description Edited meal description","SUCCESS","2021-09-15T20:45:21.3680626+02:00[Europe/Skopje]","0.0","5.67"
"Admin is logged in and views the menu, list of meals","Admin wants to edit meal named Meal for edit with new price 35","SUCCESS","2021-09-15T20:45:27.6402381+02:00[Europe/Skopje]","0.0","5.54"
"Admin is logged in and views the menu, list of meals","Admin wants to edit meal named Meal for edit with new category Pizza","SUCCESS","2021-09-15T20:45:33.7861248+02:00[Europe/Skopje]","0.0","5.52"
"Admin is logged in and views the menu, list of meals","Admin wants to edit meal named Meal for edit with new name imageUrl","SUCCESS","2021-09-15T20:45:39.9108786+02:00[Europe/Skopje]","0.0","5.81"
"Admin is logged in and views the menu, list of meals","Admin wants to edit Ingredients","SUCCESS","2021-09-15T20:45:46.315364+02:00[Europe/Skopje]","0.0","5.45"
"Admin is logged in and views the menu, list of meals","Admin want to delete Meal for delete by clicking on delete button after meal","SUCCESS","2021-09-15T20:45:52.3655624+02:00[Europe/Skopje]","0.0","6.26"
"Employee is logged and and views processing order and start preparing meals. After preparation of meals for order","Employee is logged in and clicks on processing orders button on home page. Processing order page is displayed","SUCCESS","2021-09-15T20:45:59.2268312+02:00[Europe/Skopje]","0.0","2.83"
"Employee is logged and and views processing order and start preparing meals. After preparation of meals for order","Employee user is logged in and is on processing orders page. There should be 2 processing orders","SUCCESS","2021-09-15T20:46:02.6494+02:00[Europe/Skopje]","0.0","2.83"
"Employee is logged and and views processing order and start preparing meals. After preparation of meals for order","Employee is on processing order page, displayed data is","SUCCESS","2021-09-15T20:46:06.0905484+02:00[Europe/Skopje]","0.0","2.99"
"Employee is logged and and views processing order and start preparing meals. After preparation of meals for order","Employee is on processing order page and clicks on ready for delivery button for customer1@test.com order,","SUCCESS","2021-09-15T20:46:09.6781404+02:00[Europe/Skopje]","0.0","5.05"
"Employee is logged and and views processing order and start preparing meals. After preparation of meals for order","Employee user is logged in and is on processing order page after clicking on ready for delivery button","SUCCESS","2021-09-15T20:46:15.3401918+02:00[Europe/Skopje]","0.0","2.85"
"Employee is logged and and views processing order and start preparing meals. After preparation of meals for order","Delivery user is on deliveries page and should see records about customer1@test.com order.","SUCCESS","2021-09-15T20:46:18.7793081+02:00[Europe/Skopje]","0.0","2.82"
"We have Customer1 who does not have items in shopping cart","Customer1 clicks on Shopping cart button on home page and is redirected to Shopping cart page","SUCCESS","2021-09-15T20:46:22.1805372+02:00[Europe/Skopje]","0.0","2.74"
"We have Customer1 who does not have items in shopping cart","Customer1 is on Shopping cart page and information about empty shopping cart is displayed","SUCCESS","2021-09-15T20:46:25.5391856+02:00[Europe/Skopje]","0.0","2.77"
"We have Customer1 who does not have items in shopping cart","Customer1 is on Shopping cart page and button for back to menu page is displayed, but checkout button is not shown","SUCCESS","2021-09-15T20:46:28.8942445+02:00[Europe/Skopje]","0.0","4.8"
"We have Customer1 who does not have items in shopping cart","Customer1 is on Shopping cart page and clicks button for back to menu page so he should be redirected to Menu page","SUCCESS","2021-09-15T20:46:34.2759247+02:00[Europe/Skopje]","0.0","2.85"
"We have Customer1 who does not have items in shopping cart","Customer1 is on menu page, selects Meal4 with quantity 1 and adds it to shopping cart.","SUCCESS","2021-09-15T20:46:37.7162484+02:00[Europe/Skopje]","0.0","5.66"
"We have Customer1 who does not have items in shopping cart","Customer1 is on shopping cart and clicks on Check out. He is redirected on Checkout page","SUCCESS","2021-09-15T20:46:43.9850157+02:00[Europe/Skopje]","0.0","2.86"
"We have Customer1 who does not have items in shopping cart","Customer1 is on Checkout page where total is 12, delivery fee is 20 and total is 32$","SUCCESS","2021-09-15T20:46:47.4470174+02:00[Europe/Skopje]","0.0","4.63"
"We have Customer1 who does not have items in shopping cart","Customer1 is on Checkout page and clicks on Cancel order, he should be redirected to Menu and should have empty shopping cart","SUCCESS","2021-09-15T20:46:52.6801475+02:00[Europe/Skopje]","0.0","4.31"
"We have Customer1 who does not have items in shopping cart","Customer1 has canceled his order, and once he opens his shopping cart he should see empty shopping cart","SUCCESS","2021-09-15T20:46:57.5955879+02:00[Europe/Skopje]","0.0","3.69"
"Customer2 adds meals in shopping cart and can manipulate with the","Customer2 is on Shopping cart page and there should be 5 order items,","SUCCESS","2021-09-15T20:47:01.8946093+02:00[Europe/Skopje]","0.0","2.87"
"Customer2 adds meals in shopping cart and can manipulate with the","Customer2 is on Shopping cart page and there should be 5 order items with below data,","SUCCESS","2021-09-15T20:47:05.3532714+02:00[Europe/Skopje]","0.0","3.14"
"Customer2 adds meals in shopping cart and can manipulate with the","Customer2 is on Shopping cart page and clicks on the delete button next to Meal6 (order item with id 7), total=380","SUCCESS","2021-09-15T20:47:09.0915973+02:00[Europe/Skopje]","0.0","2.89"
"Customer2 adds meals in shopping cart and can manipulate with the","Customer2 clicks on continue shopping button and he is redirected to menu page","SUCCESS","2021-09-15T20:47:12.5819993+02:00[Europe/Skopje]","0.0","3.12"
"Customer2 adds meals in shopping cart and can manipulate with the","Customer2 is on shopping cart page and clicks on check out button, and he is redirected to /checkOut page","SUCCESS","2021-09-15T20:47:16.3034002+02:00[Europe/Skopje]","0.0","2.79"
"Customer2 adds meals in shopping cart and can manipulate with the","Customer2 is on checkout page and total is 380, delivery fee 0 and total with delivery is 380","SUCCESS","2021-09-15T20:47:19.685364+02:00[Europe/Skopje]","0.0","4.3"
"Users with different roles should see different pages","Non-logged in user, accesses different pages","SUCCESS","2021-09-15T20:47:24.5697541+02:00[Europe/Skopje]","0.0","0.14"
"Users with different roles should see different pages","Non-logged in user - shown buttons","SUCCESS","2021-09-15T20:47:24.7260071+02:00[Europe/Skopje]","0.0","3.66"
"Users with different roles should see different pages","User with role DELIVERY, accesses different pages","SUCCESS","2021-09-15T20:47:28.9813874+02:00[Europe/Skopje]","0.0","28.22"
"Users with different roles should see different pages","Logged in delivery - shown buttons","SUCCESS","2021-09-15T20:47:57.1980017+02:00[Europe/Skopje]","0.0","6.11"
"Users with different roles should see different pages","User with role EMPLOYEE, accesses different pages","SUCCESS","2021-09-15T20:48:04.515964+02:00[Europe/Skopje]","0.0","28.33"
"Users with different roles should see different pages","Logged in employee - shown buttons","SUCCESS","2021-09-15T20:48:32.841191+02:00[Europe/Skopje]","0.0","5.53"
"Users with different roles should see different pages","User with role CUSTOMER, accesses different pages","SUCCESS","2021-09-15T20:48:39.5554293+02:00[Europe/Skopje]","0.0","30.81"
"Users with different roles should see different pages","Logged in customer - shown buttons","SUCCESS","2021-09-15T20:49:10.3642584+02:00[Europe/Skopje]","0.0","5.52"
"Login user","Successful login user to the web application","SUCCESS","2021-09-15T20:49:17.0299201+02:00[Europe/Skopje]","0.0","2.3"
"Login user","Login with empty username","SUCCESS","2021-09-15T20:49:19.9276607+02:00[Europe/Skopje]","0.0","2.29"
"Login user","Login with empty password","SUCCESS","2021-09-15T20:49:22.8223882+02:00[Europe/Skopje]","0.0","2.26"
"Login user","Login with invalid username or password","SUCCESS","2021-09-15T20:49:25.6754857+02:00[Europe/Skopje]","0.0","2.29"
"Login user","Logout user","SUCCESS","2021-09-15T20:49:28.5534971+02:00[Europe/Skopje]","0.0","4.14"
"User views his profile page","Admin user clicks on profile button","SUCCESS","2021-09-15T20:49:33.2975455+02:00[Europe/Skopje]","0.0","6.37"
"User views his profile page","Customer user clicks on profile button","SUCCESS","2021-09-15T20:49:40.2989553+02:00[Europe/Skopje]","0.0","6.81"
"User views his profile page","Delivery user clicks on profile button","SUCCESS","2021-09-15T20:49:47.7114262+02:00[Europe/Skopje]","0.0","6.87"
"User views his profile page","Employee user clicks on profile button","SUCCESS","2021-09-15T20:49:55.1663201+02:00[Europe/Skopje]","0.0","6.87"
"User views his profile page","Customer should see his private information","SUCCESS","2021-09-15T20:50:02.6245296+02:00[Europe/Skopje]","0.0","2.82"
"User views his profile page","Customer user leaves a review","SUCCESS","2021-09-15T20:50:06.0279487+02:00[Europe/Skopje]","0.0","3.07"
"Register user","Successful register","SUCCESS","2021-09-15T20:50:09.6991879+02:00[Europe/Skopje]","0.0","2.87"
"Register user","User registers where passwords do not match","SUCCESS","2021-09-15T20:50:13.1650604+02:00[Europe/Skopje]","0.0","3.17"
"Register user","User registers where email address already exists","SUCCESS","2021-09-15T20:50:16.9366677+02:00[Europe/Skopje]","0.0","3.14"
"Register user","User registers with empty username","SUCCESS","2021-09-15T20:50:20.6750681+02:00[Europe/Skopje]","0.0","2.84"
"Register user","User registers with empty password","SUCCESS","2021-09-15T20:50:24.0954696+02:00[Europe/Skopje]","0.0","2.89"
"Register user","User registers with empty repeatedPassword","SUCCESS","2021-09-15T20:50:27.5864606+02:00[Europe/Skopje]","0.0","2.92"
"Register user","User registers with empty name","SUCCESS","2021-09-15T20:50:31.1054749+02:00[Europe/Skopje]","0.0","2.88"
"Register user","User registers with empty surname","SUCCESS","2021-09-15T20:50:34.5872399+02:00[Europe/Skopje]","0.0","2.91"
"Register user","User registers with empty phoneNumber","SUCCESS","2021-09-15T20:50:38.0814349+02:00[Europe/Skopje]","0.0","2.89"
"Register user","User registers with empty address","SUCCESS","2021-09-15T20:50:41.5770024+02:00[Europe/Skopje]","0.0","2.89"
